OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude
2,69.3,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98101,1996.0,11.0,1.0,103566.0,88502.0,15064.0,88502.0,15064.0,,47.613073260005,-122.33360693137
3,89.9,2025,NonResidential,Hotel,Hotel,Parking,Swimming Pool,LAKE UNION,7,98101,1969.0,41.0,3.0,956110.0,759392.0,196718.0,827566.0,117783.0,,47.613672201345,-122.33822086132
5,83.6,2025,NonResidential,Hotel,Hotel,,,LAKE UNION,7,98101,1926.0,10.0,1.0,61320.0,61320.0,0.0,61320.0,,,47.614120804646,-122.3366370113
8,86.1,2025,NonResidential,Hotel,Hotel,Parking,Swimming Pool,LAKE UNION,7,98121,1980.0,18.0,1.0,175580.0,113580.0,62000.0,123445.0,68009.0,,47.613950177024,-122.3408714571
9,172.1,2025,NonResidential,Police Station,Police Station,Parking,,LAKE UNION,7,98101,1999.0,2.0,1.0,97288.0,60090.0,37198.0,50755.0,40971.0,,47.616234654308,-122.33656729421
11,71.3,2025,NonResidential,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,EAST,7,98101,1926.0,8.0,1.0,102761.0,102761.0,0.0,102761.0,,,47.613265905394,-122.33136303355
12,72.7,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,1,98104,1904.0,15.0,1.0,163984.0,163984.0,0.0,163984.0,,,47.602944684755,-122.3326313811
13,78.6,2025,Multifamily MR (5-9),Multifamily Housing,Multifamily Housing,Office,Medical Office,DOWNTOWN,1,98104,1910.0,6.0,1.0,63712.0,62216.0,1496.0,38407.0,12139.0,5586.0,47.6028437314,-122.33183890992
15,60.4,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,7,98101,1969.0,11.0,1.0,153163.0,133884.0,19279.0,154723.0,,,47.606948514791,-122.33414034207
16,76.6,2025,NonResidential,Hotel,Hotel,Parking,,DOWNTOWN,7,98101,1998.0,25.0,1.0,333176.0,272015.0,61161.0,292079.0,44561.0,,47.607377261576,-122.33362268095
17,75.6,2025,NonResidential,Hotel,Hotel,Restaurant,Fast Food Restaurant,DOWNTOWN,7,98104,1928.0,9.0,1.0,65009.0,65009.0,0.0,59021.0,5288.0,700.0,47.606987381526,-122.33345959939
18,56.4,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98101,1980.0,33.0,1.0,353111.0,295511.0,57600.0,295511.0,57600.0,,47.608092668035,-122.33211525061
21,35.6,2025,NonResidential,Library,Library,Parking,Data Center,DOWNTOWN,7,98104,2004.0,11.0,1.0,412000.0,355000.0,57000.0,364913.0,49000.0,1074.0,47.60648528122,-122.33296826991
22,86.3,2025,NonResidential,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,Multifamily Housing,,DOWNTOWN,7,98104,1930.0,6.0,1.0,103911.0,103911.0,0.0,87231.0,10000.0,,47.605458125973,-122.3327904595
23,74.8,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98104,1983.0,28.0,1.0,460902.0,375902.0,85000.0,375902.0,85000.0,,47.606811914111,-122.33078166693
24,122.7,2025,NonResidential,Mixed Use Property,Social/Meeting Hall,Restaurant,Office,DOWNTOWN,7,98104,1907.0,5.0,1.0,57452.0,57452.0,0.0,16442.0,15505.0,9741.0,47.605152612754,-122.33158661631
25,72.0,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,7,98104,1916.0,10.0,1.0,104352.0,104352.0,0.0,104352.0,,,47.603758814821,-122.33193530141
26,95.6,2025,NonResidential,Courthouse,Courthouse,Barracks,,DOWNTOWN,1,98104,1916.0,10.0,1.0,540360.0,540360.0,0.0,501287.0,35863.0,,47.602650876559,-122.33051025564
27,127.9,2025,NonResidential,Prison/Incarceration,Prison/Incarceration,Parking,,EAST,7,98104,1985.0,19.0,1.0,385274.0,339315.0,45959.0,339315.0,45959.0,,47.603777384819,-122.32842195674
28,21.0,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,1961.0,2.0,1.0,56228.0,56228.0,0.0,55715.0,,,47.545757301217,-122.26853422887
