OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,BuildingAge,GFA_per_Floor,ParkingRatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,LogPropertyGFATotal
2,69.3,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98101,1996.0,11.0,1.0,103566.0,88502.0,15064.0,88502.0,15064.0,,47.613073260005,-122.33360693137,29.0,9415.09090909091,0.1454531409922175,0.8545468590077825,0.1454531409922175,,11.547974025246633
3,89.9,2025,NonResidential,Hotel,Hotel,Parking,Swimming Pool,LAKE UNION,7,98101,1969.0,41.0,3.0,956110.0,759392.0,196718.0,827566.0,117783.0,,47.613672201345,-122.33822086132,56.0,23319.756097560974,0.20574829256047944,0.8655552185417996,0.12318980033678133,,13.770629294080045
5,83.6,2025,NonResidential,Hotel,Hotel,,,LAKE UNION,7,98101,1926.0,10.0,1.0,61320.0,61320.0,0.0,61320.0,,,47.614120804646,-122.3366370113,99.0,6132.0,0.0,1.0,,,11.023877640745798
8,86.1,2025,NonResidential,Hotel,Hotel,Parking,Swimming Pool,LAKE UNION,7,98121,1980.0,18.0,1.0,175580.0,113580.0,62000.0,123445.0,68009.0,,47.613950177024,-122.3408714571,45.0,9754.444444444445,0.3531153889964688,0.7030698257204693,0.38733910468162663,,12.075855753873482
9,172.1,2025,NonResidential,Police Station,Police Station,Parking,,LAKE UNION,7,98101,1999.0,2.0,1.0,97288.0,60090.0,37198.0,50755.0,40971.0,,47.616234654308,-122.33656729421,26.0,48644.0,0.382349313378834,0.5216984622975084,0.4211310747471425,,11.48544120936798
11,71.3,2025,NonResidential,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,EAST,7,98101,1926.0,8.0,1.0,102761.0,102761.0,0.0,102761.0,,,47.613265905394,-122.33136303355,99.0,12845.125,0.0,1.0,,,11.540170913860424
12,72.7,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,1,98104,1904.0,15.0,1.0,163984.0,163984.0,0.0,163984.0,,,47.602944684755,-122.3326313811,121.0,10932.266666666666,0.0,1.0,,,12.007530239208668
13,78.6,2025,Multifamily MR (5-9),Multifamily Housing,Multifamily Housing,Office,Medical Office,DOWNTOWN,1,98104,1910.0,6.0,1.0,63712.0,62216.0,1496.0,38407.0,12139.0,5586.0,47.6028437314,-122.33183890992,115.0,10618.666666666666,0.023480662983425413,0.6028220743345053,0.19052925665494727,0.08767579105976896,11.062143902371083
15,60.4,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,7,98101,1969.0,11.0,1.0,153163.0,133884.0,19279.0,154723.0,,,47.606948514791,-122.33414034207,56.0,13923.90909090909,0.12587243655452035,1.0101852275027259,,,11.9392645217297
16,76.6,2025,NonResidential,Hotel,Hotel,Parking,,DOWNTOWN,7,98101,1998.0,25.0,1.0,333176.0,272015.0,61161.0,292079.0,44561.0,,47.607377261576,-122.33362268095,27.0,13327.04,0.18356964487237976,0.8766507791677672,0.13374612817249742,,12.716429159281265
17,75.6,2025,NonResidential,Hotel,Hotel,Restaurant,Fast Food Restaurant,DOWNTOWN,7,98104,1928.0,9.0,1.0,65009.0,65009.0,0.0,59021.0,5288.0,700.0,47.606987381526,-122.33345959939,97.0,7223.222222222223,0.0,0.9078896768139796,0.0813425833346152,0.01076773985140519,11.082296383198514
18,56.4,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98101,1980.0,33.0,1.0,353111.0,295511.0,57600.0,295511.0,57600.0,,47.608092668035,-122.33211525061,45.0,10700.333333333334,0.16312151136611433,0.8368784886338857,0.16312151136611433,,12.774540566045893
21,35.6,2025,NonResidential,Library,Library,Parking,Data Center,DOWNTOWN,7,98104,2004.0,11.0,1.0,412000.0,355000.0,57000.0,364913.0,49000.0,1074.0,47.60648528122,-122.33296826991,21.0,37454.545454545456,0.1383495145631068,0.8857111650485436,0.11893203883495146,0.0026067961165048546,12.928781055513184
22,86.3,2025,NonResidential,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,Multifamily Housing,,DOWNTOWN,7,98104,1930.0,6.0,1.0,103911.0,103911.0,0.0,87231.0,10000.0,,47.605458125973,-122.3327904595,95.0,17318.5,0.0,0.8394780148396224,0.09623620213451896,,11.55129966608712
23,74.8,2025,NonResidential,Hotel,Hotel,Parking,,EAST,7,98104,1983.0,28.0,1.0,460902.0,375902.0,85000.0,375902.0,85000.0,,47.606811914111,-122.33078166693,42.0,16460.785714285714,0.18442098320250291,0.8155790167974971,0.18442098320250291,,13.04094288769154
24,122.7,2025,NonResidential,Mixed Use Property,Social/Meeting Hall,Restaurant,Office,DOWNTOWN,7,98104,1907.0,5.0,1.0,57452.0,57452.0,0.0,16442.0,15505.0,9741.0,47.605152612754,-122.33158661631,118.0,11490.4,0.0,0.28618672979182624,0.26987746292557263,0.16955023323818144,10.95872250123467
25,72.0,2025,NonResidential,Hotel,Hotel,,,DOWNTOWN,7,98104,1916.0,10.0,1.0,104352.0,104352.0,0.0,104352.0,,,47.603758814821,-122.33193530141,109.0,10435.2,0.0,1.0,,,11.555534661493144
26,95.6,2025,NonResidential,Courthouse,Courthouse,Barracks,,DOWNTOWN,1,98104,1916.0,10.0,1.0,540360.0,540360.0,0.0,501287.0,35863.0,,47.602650876559,-122.33051025564,109.0,54036.0,0.0,0.9276907987267747,0.06636871715152862,,13.199992713700011
27,127.9,2025,NonResidential,Prison/Incarceration,Prison/Incarceration,Parking,,EAST,7,98104,1985.0,19.0,1.0,385274.0,339315.0,45959.0,339315.0,45959.0,,47.603777384819,-122.32842195674,40.0,20277.57894736842,0.11928912929499524,0.8807108707050048,0.11928912929499524,,12.861712644003578
28,21.0,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,1961.0,2.0,1.0,56228.0,56228.0,0.0,55715.0,,,47.545757301217,-122.26853422887,64.0,28114.0,0.0,0.9908764316710535,,,10.937187917027094
29,50.5,2025,NonResidential,Hotel,Hotel,Parking,,NORTHEAST,4,98105,2001.0,6.0,1.0,88592.0,58006.0,30586.0,67770.0,30586.0,,47.659576817304,-122.31737789931,24.0,14765.333333333334,0.34524562037204265,0.7649674914213473,0.34524562037204265,,11.391808126699964
33,59.3,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98101,2001.0,10.0,1.0,171866.0,133585.0,38281.0,133585.0,38281.0,,47.617840340436,-122.32965714167,24.0,17186.6,0.22273748152630538,0.7772625184736947,0.22273748152630538,,12.054476200865155
34,36.3,2025,School,K-12 School,K-12 School,,,EAST,3,98112,1955.0,1.0,1.0,126351.0,126351.0,0.0,119254.0,,,47.622655551784,-122.30547139435,70.0,126351.0,0.0,0.9438310737548575,,,11.746826941737362
35,63.3,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98121,1978.0,5.0,1.0,68410.0,52210.0,16200.0,52210.0,15400.0,,47.615580246925,-122.34186023018,47.0,13682.0,0.2368074842859231,0.7631925157140769,0.22511328753106272,,11.13328890939415
36,37.3,2025,School,K-12 School,K-12 School,,,NORTH,5,98125,1949.0,2.0,1.0,160645.0,160645.0,0.0,168709.0,,,47.709944864426,-122.29300903434,76.0,80322.5,0.0,1.0501976407606834,,,11.986958465385595
37,24.5,2025,School,K-12 School,K-12 School,,,MAGNOLIA/QUEEN ANNE,7,98109,1989.0,2.0,1.0,51582.0,51582.0,0.0,54946.0,,,47.632898480666,-122.35171659594,36.0,25791.0,0.0,1.0652165484083596,,,10.850947439822313
38,51.6,2025,NonResidential,Office,Office,K-12 School,Other - Entertainment/Public Assembly,LAKE UNION,4,98103,1906.0,3.0,1.0,87262.0,87262.0,0.0,43615.0,23177.0,5919.0,47.664101103497,-122.33117847708,119.0,29087.333333333332,0.0,0.4998166441291742,0.26560243863308197,0.06783021246361531,11.376681826100373
40,58.5,2025,NonResidential,Hotel,Hotel,,,NORTHEAST,4,98105,1994.0,4.0,1.0,81871.0,81871.0,0.0,83361.0,,,47.665830173219,-122.29965189503,31.0,20467.75,0.0,1.0181993624115988,,,11.312912331044872
43,66.0,2025,NonResidential,Mixed Use Property,Office,Non-Refrigerated Warehouse,Laboratory,GREATER DUWAMISH,1,98108,1992.0,3.0,33.0,2026324.0,2026324.0,0.0,686344.0,482984.0,480744.0,47.534926370405,-122.31788423711,33.0,675441.3333333334,0.0,0.33871384832830287,0.23835477445857622,0.23724932439234792,14.521734365535787
50,32.0,2025,School,K-12 School,K-12 School,,,MAGNOLIA/QUEEN ANNE,6,98199,1990.0,2.0,1.0,54986.0,54986.0,0.0,52669.0,,,47.65671241326,-122.39047451662,35.0,27493.0,0.0,0.9578620012366784,,,10.914852072639958
51,36.5,2025,School,K-12 School,K-12 School,,,NORTHEAST,4,98115,1950.0,2.0,1.0,175565.0,175565.0,0.0,179513.0,,,47.682520092088,-122.29498266536,75.0,87782.5,0.0,1.0224873978298636,,,12.075770319568138
