"osebuildingid","datayear","buildingname","buildingtype","taxparcelidentificationnumber","address","city","state","zipcode","latitude","longitude","neighborhood","councildistrictcode","yearbuilt","numberoffloors","numberofbuildings","propertygfatotal","propertygfabuildings","propertygfaparking","selfreportgfatotal","selfreportgfabuildings","selfreportparking","energystarscore","siteeuiwn_kbtu_sf","siteeui_kbtu_sf","siteenergyuse_kbtu","siteenergyusewn_kbtu","sourceeuiwn_kbtu_sf","sourceeui_kbtu_sf","epapropertytype","largestpropertyusetype","largestpropertyusetypegfa","secondlargestpropertyusetype","secondlargestpropertyuse","thirdlargestpropertyusetype","thirdlargestpropertyusetypegfa","electricity_kwh","steamuse_kbtu","naturalgas_therms","compliancestatus","complianceissue","electricity_kbtu","naturalgas_kbtu","totalghgemissions","ghgemissionsintensity","demolished"
"1","2025","Mayflower Park Hotel","NonResidential","659000030","405 OLIVE WAY","SEATTLE","WA","98101","47.612199351525","-122.33799058803","DOWNTOWN","7","1927","12","1","88434","88434","0","115387","115387","0",,,,,,,,"Hotel","Hotel","115387","NA",,"NA",,"1021340",,"16927.4","Not Compliant",,"3484810.7","1692740",,,"false"
"2","2025","Paramount Hotel","NonResidential","659000220","724 PINE ST","SEATTLE","WA","98101","47.613073260005","-122.33360693137","EAST","7","1996","11","1","103566","88502","15064","103566","88502","15064","87","69","69.3","6131086","6103114","124.2","125.1","Hotel","Hotel","88502","Parking","15064","NA",,"775602",,"34847","Compliant","No Issue","2646356","3484730","199.75","2.26","false"
"3","2025","Westin Hotel (Parent Building)","NonResidential","659000475","1900 5TH AVE","SEATTLE","WA","98101","47.613672201345","-122.33822086132","LAKE UNION","7","1969","41","3","956110","759392","196718","947059","827566","119493","63","89.9","89.9","74382200","74382200","184.1","184.1","Hotel","Hotel","827566","Parking","117783","Swimming Pool",,"11693500","29336926","51470","Compliant","No Issue","39898222","5147040","2880.5","3.48","false"
"5","2025","Hotel Max","NonResidential","659000640","620 STEWART ST","SEATTLE","WA","98101","47.614120804646","-122.3366370113","LAKE UNION","7","1926","10","1","61320","61320","0","61320","61320","0","54","83.2","83.6","5125570","5099552","165.1","166.3","Hotel","Hotel","61320","NA",,"NA",,"772199","1349793","11410","Compliant","No Issue","2634742","1141040","184.94","3.02","false"
"8","2025","Warwick Seattle Hotel","NonResidential","659000970","401 LENORA ST","SEATTLE","WA","98121","47.613950177024","-122.3408714571","LAKE UNION","7","1980","18","1","175580","113580","62000","203942","123445","80497","90","85.7","86.1","10624897","10577956","156.8","157.8","Hotel","Hotel","123445","Parking","68009","Swimming Pool",,"1394922",,"58654","Compliant","No Issue","4759474","5865420","338.2","2.74","false"
"9","2025","West Precinct (Seattle Police)","NonResidential","660000560","810 VIRGINIA ST","SEATTLE","WA","98101","47.616234654308","-122.33656729421","LAKE UNION","7","1999","2","1","97288","60090","37198","91726","50755","40971",,"171.7","172.1","8736499","8714851","383.6","384.5","Police Station","Police Station","50755","Parking","40971","NA",,"1731797",,"28276","Compliant","No Issue","5908891","2827610","183.52","3.62","false"
"11","2025","Paramount Theatre","NonResidential","660000955","901 PINE ST","SEATTLE","WA","98101","47.613265905394","-122.33136303355","EAST","7","1926","8","1","102761","102761","0","102761","102761","0",,"70.6","71.3","7326517","7257684","142.1","142.9","Other - Entertainment/Public Assembly","Other - Entertainment/Public Assembly","102761","NA",,"NA",,"1090809","3190571","4141","Compliant","No Issue","3721840","414110","301.28","2.93","false"
"12","2025","Courtyard By Marriott - Pioneer Sq","NonResidential","939000080","612 2ND AVE","SEATTLE","WA","98104","47.602944684755","-122.3326313811","DOWNTOWN","1","1904","15","1","163984","163984","0","163984","163984","0","75","72.7","72.7","11924050","11924050","150.4","150.4","Hotel","Hotel","163984","NA",,"NA",,"2034441",,"49825","Compliant","No Issue","6941513","4982540","304.34","1.86","false"
"13","2025","Lyon Building","Multifamily MR (5-9)","939000105","607 3RD AVE","SEATTLE","WA","98104","47.6028437314","-122.33183890992","DOWNTOWN","1","1910","6","1","63712","62216","1496","56132","56132","0","33","78.4","78.6","4410124","4401463","149.7","149.8","Multifamily Housing","Multifamily Housing","38407","Office","12139","Medical Office","5586","589639","1724173","6741","Compliant","No Issue","2011847","674100","186.6","3.32","false"
"15","2025","Hotel Monaco","NonResidential","942000145","1101 4TH AVE","SEATTLE","WA","98101","47.606948514791","-122.33414034207","DOWNTOWN","7","1969","11","1","153163","133884","19279","154723","154723","0","81","59.9","60.4","9347188","9274045","123.2","124.2","Hotel","Hotel","154723","NA",,"NA",,"1496753","3097224","11430","Compliant","No Issue","5106921","1143040","340.86","2.2","false"
